CD_MUN,NM_MUN_x,Total_notificados__43,Total_confirmados_autóctones,Total_confirmados_importados,Total_confirmados_anual
3556206,Valinhos,2589,1096,33,1129
3556305,Valparaíso,495,263,8,271
3556354,Vargem,8,0,0,0
3556404,Vargem Grande do Sul,18,9,0,9
3556453,Vargem Grande Paulista,57,13,1,14
3556503,Várzea Paulista,1369,759,8,767
3556602,Vera Cruz,1354,1098,6,1104
3556701,Vinhedo,789,217,4,221
3556800,Viradouro,558,304,0,304
3556909,Vista Alegre do Alto,194,143,3,146
3556958,Vitória Brasil,94,82,1,83
3557006,Votorantim,2375,656,4,660
3557105,Votuporanga,14201,10052,1,10053
3557154,Zacarias,182,119,1,120
3557204,Chavantes,192,99,14,113
