CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,Total_setores,População
3,Sudeste,35,São Paulo,3536307,Patrocínio Paulista,36,14512
3,Sudeste,35,São Paulo,3536406,Paulicéia,36,7955
3,Sudeste,35,São Paulo,3536505,Paulínia,187,110537
3,Sudeste,35,São Paulo,3536570,Paulistânia,8,2090
3,Sudeste,35,São Paulo,3536604,Paulo de Faria,26,7400
3,Sudeste,35,São Paulo,3536703,Pederneiras,117,44827
3,Sudeste,35,São Paulo,3536802,Pedra Bela,20,6557
3,Sudeste,35,São Paulo,3536901,Pedranópolis,12,2787
3,Sudeste,35,São Paulo,3537008,Pedregulho,42,15525
3,Sudeste,35,São Paulo,3537107,Pedreira,90,43112
3,Sudeste,35,São Paulo,3537156,Pedrinhas Paulista,6,2804
3,Sudeste,35,São Paulo,3537206,Pedro de Toledo,37,11281
3,Sudeste,35,São Paulo,3537305,Penápolis,132,61679
3,Sudeste,35,São Paulo,3537404,Pereira Barreto,59,24095
3,Sudeste,35,São Paulo,3537503,Pereiras,23,8737
3,Sudeste,35,São Paulo,3537602,Peruíbe,194,68352
3,Sudeste,35,São Paulo,3537701,Piacatu,20,5519
3,Sudeste,35,São Paulo,3537800,Piedade,143,52970
3,Sudeste,35,São Paulo,3537909,Pilar do Sul,57,27619
