CD_MUN,NM_MUN_x,População_total_2021,Total_confirmados_anual,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Taxa_incidência_mil,Classificação_incidência
3514700,Echaporã,6026,36,34,2,0,0,0,4,13,0,0,0,0,0,3,16,60.0,Baixa
3514809,Eldorado,15592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3514908,Elias Fausto,18095,11,10,1,0,2,1,5,3,0,0,0,0,0,0,0,6.0,Baixa
3514924,Elisiário,3742,183,179,4,0,2,29,68,64,11,5,4,0,0,0,0,489.0,Alta
3514957,Embaúba,2446,253,251,2,0,11,79,131,31,1,0,0,0,0,0,0,1034.0,Alta
3515004,Embu das Artes,279264,56,48,8,0,3,10,17,18,5,1,1,0,0,0,1,2.0,Baixa
3515103,Embu-Guaçu,70402,7,6,1,1,0,0,3,1,0,1,0,0,0,1,0,1.0,Baixa
3515129,Emilianópolis,3238,21,19,2,0,0,0,3,10,0,0,0,0,0,7,1,65.0,Baixa
3515152,Engenheiro Coelho,21712,43,43,0,5,6,2,8,9,6,1,2,2,0,1,1,20.0,Baixa
3515186,Espírito Santo do Pinhal,44607,682,674,8,0,6,106,268,263,25,9,2,2,1,0,0,153.0,Média
3515194,Espírito Santo do Turvo,4926,192,187,5,0,9,85,62,34,2,0,0,0,0,0,0,390.0,Alta
3515202,Estrela d'Oeste,8420,370,368,2,1,1,52,133,141,30,8,3,0,0,0,1,439.0,Alta
3515301,Estrela do Norte,2774,37,37,0,1,0,1,13,14,6,0,0,0,1,0,1,133.0,Média
3515350,Euclides da Cunha Paulista,9280,654,654,0,1,19,47,159,246,109,34,20,3,11,5,0,705.0,Alta
3515400,Fartura,16102,77,72,5,0,0,0,22,41,7,5,0,0,0,0,2,48.0,Baixa
3515509,Fernandópolis,69680,915,914,1,15,59,181,249,216,137,43,7,3,1,3,1,131.0,Média
3515608,Fernando Prestes,5805,70,65,5,0,0,4,23,22,4,4,2,3,3,2,3,121.0,Média
3515657,Fernão,1739,24,16,8,0,0,7,9,7,0,0,1,0,0,0,0,138.0,Média
3515707,Ferraz de Vasconcelos,198661,198,194,4,3,1,7,46,103,33,2,1,0,2,0,0,10.0,Baixa
3515806,Flora Rica,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3515905,Floreal,2884,299,295,4,6,29,104,102,49,7,2,0,0,0,0,0,1037.0,Alta
3516002,Flórida Paulista,14936,231,228,3,3,2,14,81,76,24,13,10,0,1,3,4,155.0,Média
3516101,Florínea,2631,8,5,3,1,0,0,3,0,0,2,2,0,0,0,0,30.0,Baixa
3516200,Franca,358539,7109,7073,36,54,478,2776,2060,1471,177,32,18,6,9,9,19,198.0,Média
3516309,Francisco Morato,179372,52,52,0,1,1,6,25,17,0,1,1,0,0,0,0,3.0,Baixa
3516408,Franco da Rocha,158438,90,84,6,0,0,9,29,29,12,4,1,3,1,0,2,6.0,Baixa
3516507,Gabriel Monteiro,2776,478,476,2,54,91,174,101,42,13,3,0,0,0,0,0,1722.0,Alta
3516606,Gália,6419,307,305,2,8,42,149,86,20,0,0,1,0,0,0,1,478.0,Alta
3516705,Garça,44429,8064,8042,22,31,192,2514,3437,1495,214,69,33,12,28,18,21,1815.0,Alta
3516804,Gastão Vidigal,4911,298,296,2,85,127,76,9,0,0,0,0,0,0,1,0,607.0,Alta
3516853,Gavião Peixoto,4841,265,181,84,0,0,12,119,101,24,3,4,2,0,0,0,547.0,Alta
3516903,General Salgado,10855,1205,1201,4,27,118,476,431,132,14,2,3,0,1,1,0,1110.0,Alta
3517000,Getulina,11485,33,32,1,1,1,6,5,13,2,2,0,1,1,1,0,29.0,Baixa
3517109,Glicério,4842,334,332,2,3,4,59,142,104,18,2,2,0,0,0,0,690.0,Alta
3517208,Guaiçara,12416,99,98,1,0,4,9,34,33,7,3,1,0,0,1,7,80.0,Baixa
3517307,Guaimbê,5806,126,126,0,1,0,13,59,29,11,3,6,1,2,0,1,217.0,Média
3517406,Guaíra,41283,454,454,0,0,1,26,101,137,79,51,30,9,7,6,7,110.0,Média
3517505,Guapiaçu,22087,595,572,23,13,19,89,285,135,21,5,2,4,6,6,10,269.0,Média
3517604,Guapiara,16896,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,Baixa
3517703,Guará,21394,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,Baixa
3517802,Guaraçaí,8258,1349,1340,9,3,63,383,610,234,40,4,8,2,0,0,2,1634.0,Alta
3517901,Guaraci,11382,158,153,5,101,38,13,2,1,1,0,0,0,2,0,0,139.0,Média
3518008,Guarani d'Oeste,1996,41,41,0,0,0,0,4,0,0,1,0,0,5,8,23,205.0,Média
3518107,Guarantã,6685,18,18,0,5,1,1,6,2,2,0,0,0,1,0,0,27.0,Baixa
3518206,Guararapes,33257,810,809,1,8,10,87,279,262,86,44,17,6,5,3,3,244.0,Média
3518305,Guararema,30465,15,15,0,0,0,2,4,7,1,0,0,1,0,0,0,5.0,Baixa
3518404,Guaratinguetá,123192,51,50,1,3,4,9,5,5,8,2,4,0,5,2,4,4.0,Baixa
3518503,Guareí,19244,4,1,3,0,0,0,3,1,0,0,0,0,0,0,0,2.0,Baixa
3518602,Guariba,40857,1072,1046,26,1,13,81,305,478,185,7,1,0,0,0,1,262.0,Média
3518701,Guarujá,324977,86,81,5,9,3,6,11,15,4,4,2,3,9,10,10,3.0,Baixa
3518800,Guarulhos,1404694,1071,1048,23,27,24,95,387,376,61,21,11,7,11,28,23,8.0,Baixa
3518859,Guatapará,7760,55,55,0,0,0,0,7,4,7,7,0,0,2,4,24,71.0,Baixa
3518909,Guzolândia,5346,85,85,0,0,9,31,21,17,5,1,0,0,0,0,1,159.0,Média
